text,type,urgency,location
"Madhya Pradesh facing rescue shortage, urgency level: High.",Rescue,High,Madhya Pradesh
"Appeal for other relief in Manipur, marked Low urgency.",Other,Low,Manipur
Lack of basic food services reported in Meghalaya.,Food,Medium,Meghalaya
"Appeal for food relief in Manipur, marked Medium urgency.",Food,Medium,Manipur
Lack of basic other services reported in Odisha.,Other,High,Odisha
"Shelter emergency reported in Uttar Pradesh, situation is Medium.",Shelter,Medium,Uttar Pradesh
Lack of basic food services reported in Kolkata.,Food,Low,Kolkata
Severe rescue crisis unfolding in Gujarat.,Rescue,Medium,Gujarat
"Local authorities in Madhya Pradesh report other issues, response needed.",Other,Low,Madhya Pradesh
Severe food crisis unfolding in Odisha.,Food,Medium,Odisha
Crisis alert: Medical required in Mumbai. Urgency is Medium.,Medical,Medium,Mumbai
Lack of basic shelter services reported in Kolkata.,Shelter,Medium,Kolkata
"Appeal for shelter relief in Tripura, marked Low urgency.",Shelter,Low,Tripura
Urgent Rescue assistance required in Manipur.,Rescue,Low,Manipur
Volunteers needed for shelter support in Tripura.,Shelter,Medium,Tripura
Severe other crisis unfolding in Meghalaya.,Other,Medium,Meghalaya
"Food emergency reported in Uttar Pradesh, situation is High.",Food,High,Uttar Pradesh
Crisis alert: Food required in Bihar. Urgency is High.,Food,High,Bihar
Severe other crisis unfolding in Kerala.,Other,Low,Kerala
Volunteers needed for medical support in Ladakh.,Medical,Low,Ladakh
Urgent Other assistance required in Kolkata.,Other,Low,Kolkata
Severe food crisis unfolding in Jharkhand.,Food,Low,Jharkhand
"Appeal for shelter relief in Sikkim, marked Low urgency.",Shelter,Low,Sikkim
Urgent Rescue assistance required in Telangana.,Rescue,Low,Telangana
"Mumbai facing other shortage, urgency level: High.",Other,High,Mumbai
"Rescue emergency reported in Tripura, situation is High.",Rescue,High,Tripura
Severe medical crisis unfolding in Telangana.,Medical,Medium,Telangana
"Appeal for rescue relief in Assam, marked Low urgency.",Rescue,Low,Assam
Lack of basic medical services reported in Gujarat.,Medical,Medium,Gujarat
Severe medical crisis unfolding in Himachal Pradesh.,Medical,High,Himachal Pradesh
Citizens in Meghalaya need immediate shelter aid.,Shelter,Medium,Meghalaya
"Local authorities in Delhi report shelter issues, response needed.",Shelter,High,Delhi
Volunteers needed for other support in Telangana.,Other,Medium,Telangana
Volunteers needed for shelter support in Andhra Pradesh.,Shelter,Medium,Andhra Pradesh
Crisis alert: Food required in Andhra Pradesh. Urgency is Medium.,Food,Medium,Andhra Pradesh
Urgent Other assistance required in Jharkhand.,Other,Medium,Jharkhand
Volunteers needed for medical support in Ladakh.,Medical,Medium,Ladakh
"Appeal for food relief in Kerala, marked Medium urgency.",Food,Medium,Kerala
"Local authorities in Tripura report medical issues, response needed.",Medical,High,Tripura
Citizens in Telangana need immediate shelter aid.,Shelter,High,Telangana
"Medical emergency reported in Chennai, situation is High.",Medical,High,Chennai
"Andhra Pradesh facing shelter shortage, urgency level: High.",Shelter,High,Andhra Pradesh
Citizens in Madhya Pradesh need immediate other aid.,Other,High,Madhya Pradesh
Volunteers needed for food support in Odisha.,Food,High,Odisha
"Local authorities in Nagaland report other issues, response needed.",Other,Low,Nagaland
"Shelter emergency reported in Manipur, situation is Low.",Shelter,Low,Manipur
"Kerala facing food shortage, urgency level: Medium.",Food,Medium,Kerala
Crisis alert: Medical required in Punjab. Urgency is Low.,Medical,Low,Punjab
Citizens in Tripura need immediate other aid.,Other,High,Tripura
"Local authorities in Jammu report other issues, response needed.",Other,High,Jammu
Severe shelter crisis unfolding in Nagaland.,Shelter,Low,Nagaland
Severe medical crisis unfolding in Delhi.,Medical,High,Delhi
Volunteers needed for shelter support in Jharkhand.,Shelter,Low,Jharkhand
"Appeal for food relief in Andhra Pradesh, marked Low urgency.",Food,Low,Andhra Pradesh
Lack of basic rescue services reported in Jammu.,Rescue,Medium,Jammu
Crisis alert: Other required in Andhra Pradesh. Urgency is Medium.,Other,Medium,Andhra Pradesh
"Medical emergency reported in Rajasthan, situation is Low.",Medical,Low,Rajasthan
"Medical emergency reported in Tripura, situation is High.",Medical,High,Tripura
Volunteers needed for shelter support in Punjab.,Shelter,Medium,Punjab
"Kerala facing shelter shortage, urgency level: High.",Shelter,High,Kerala
Volunteers needed for medical support in Goa.,Medical,High,Goa
Volunteers needed for other support in Manipur.,Other,Low,Manipur
"Kerala facing food shortage, urgency level: High.",Food,High,Kerala
"Appeal for shelter relief in Manipur, marked High urgency.",Shelter,High,Manipur
Lack of basic rescue services reported in Goa.,Rescue,Low,Goa
Lack of basic other services reported in Rajasthan.,Other,Low,Rajasthan
"Ladakh facing rescue shortage, urgency level: Low.",Rescue,Low,Ladakh
Volunteers needed for other support in Tripura.,Other,Low,Tripura
Lack of basic other services reported in Assam.,Other,Medium,Assam
Crisis alert: Medical required in Mumbai. Urgency is Medium.,Medical,Medium,Mumbai
Urgent Medical assistance required in Madhya Pradesh.,Medical,High,Madhya Pradesh
Citizens in Madhya Pradesh need immediate medical aid.,Medical,Low,Madhya Pradesh
"Delhi facing medical shortage, urgency level: Low.",Medical,Low,Delhi
Crisis alert: Food required in Uttar Pradesh. Urgency is High.,Food,High,Uttar Pradesh
"Local authorities in Mumbai report other issues, response needed.",Other,High,Mumbai
Severe food crisis unfolding in Uttar Pradesh.,Food,Medium,Uttar Pradesh
"Food emergency reported in Telangana, situation is High.",Food,High,Telangana
"Telangana facing rescue shortage, urgency level: Medium.",Rescue,Medium,Telangana
"Medical emergency reported in Meghalaya, situation is Medium.",Medical,Medium,Meghalaya
"Rajasthan facing shelter shortage, urgency level: Medium.",Shelter,Medium,Rajasthan
"Sikkim facing shelter shortage, urgency level: Medium.",Shelter,Medium,Sikkim
Citizens in Himachal Pradesh need immediate medical aid.,Medical,Medium,Himachal Pradesh
Citizens in Punjab need immediate food aid.,Food,Low,Punjab
Volunteers needed for other support in Assam.,Other,Low,Assam
"Appeal for shelter relief in Kolkata, marked High urgency.",Shelter,High,Kolkata
"Meghalaya facing shelter shortage, urgency level: Medium.",Shelter,Medium,Meghalaya
Urgent Food assistance required in Rajasthan.,Food,Medium,Rajasthan
Urgent Other assistance required in Delhi.,Other,Medium,Delhi
Severe medical crisis unfolding in Rajasthan.,Medical,Low,Rajasthan
Lack of basic other services reported in Andhra Pradesh.,Other,Low,Andhra Pradesh
"Appeal for shelter relief in Tripura, marked Medium urgency.",Shelter,Medium,Tripura
"Food emergency reported in Ladakh, situation is Medium.",Food,Medium,Ladakh
Crisis alert: Shelter required in Chennai. Urgency is Medium.,Shelter,Medium,Chennai
Volunteers needed for other support in Bihar.,Other,Low,Bihar
Lack of basic shelter services reported in Mumbai.,Shelter,Low,Mumbai
Lack of basic food services reported in Nagaland.,Food,Low,Nagaland
Urgent Medical assistance required in Andhra Pradesh.,Medical,Medium,Andhra Pradesh
"Local authorities in Himachal Pradesh report food issues, response needed.",Food,High,Himachal Pradesh
Severe shelter crisis unfolding in Telangana.,Shelter,High,Telangana
Citizens in Jammu need immediate rescue aid.,Rescue,Medium,Jammu
Severe food crisis unfolding in Assam.,Food,High,Assam
"Medical emergency reported in Jharkhand, situation is Low.",Medical,Low,Jharkhand
Crisis alert: Other required in Mumbai. Urgency is Medium.,Other,Medium,Mumbai
Citizens in Manipur need immediate medical aid.,Medical,Medium,Manipur
Lack of basic medical services reported in Goa.,Medical,High,Goa
Crisis alert: Rescue required in Mumbai. Urgency is Medium.,Rescue,Medium,Mumbai
Volunteers needed for other support in Sikkim.,Other,Low,Sikkim
Volunteers needed for shelter support in Rajasthan.,Shelter,Medium,Rajasthan
Lack of basic shelter services reported in Meghalaya.,Shelter,Low,Meghalaya
Citizens in Punjab need immediate food aid.,Food,Medium,Punjab
"Appeal for medical relief in Bihar, marked Low urgency.",Medical,Low,Bihar
Citizens in Jharkhand need immediate shelter aid.,Shelter,Low,Jharkhand
Severe rescue crisis unfolding in Mumbai.,Rescue,Medium,Mumbai
Crisis alert: Food required in Ladakh. Urgency is High.,Food,High,Ladakh
Lack of basic food services reported in Gujarat.,Food,Low,Gujarat
"Jharkhand facing food shortage, urgency level: High.",Food,High,Jharkhand
Citizens in Chennai need immediate other aid.,Other,Low,Chennai
Citizens in Odisha need immediate medical aid.,Medical,Low,Odisha
"Shelter emergency reported in Rajasthan, situation is Medium.",Shelter,Medium,Rajasthan
"Appeal for food relief in Jammu, marked Medium urgency.",Food,Medium,Jammu
Citizens in Goa need immediate food aid.,Food,High,Goa
"Appeal for rescue relief in Uttar Pradesh, marked High urgency.",Rescue,High,Uttar Pradesh
Urgent Medical assistance required in Ladakh.,Medical,Medium,Ladakh
Urgent Medical assistance required in Kerala.,Medical,Medium,Kerala
Lack of basic rescue services reported in Manipur.,Rescue,Low,Manipur
"Manipur facing rescue shortage, urgency level: Low.",Rescue,Low,Manipur
"Chennai facing rescue shortage, urgency level: Low.",Rescue,Low,Chennai
Crisis alert: Medical required in Ladakh. Urgency is Medium.,Medical,Medium,Ladakh
Severe shelter crisis unfolding in Assam.,Shelter,High,Assam
"Rescue emergency reported in Bihar, situation is Low.",Rescue,Low,Bihar
"Appeal for shelter relief in Mumbai, marked Low urgency.",Shelter,Low,Mumbai
"Meghalaya facing other shortage, urgency level: Low.",Other,Low,Meghalaya
Lack of basic rescue services reported in Sikkim.,Rescue,High,Sikkim
Urgent Other assistance required in Manipur.,Other,Low,Manipur
"Kerala facing food shortage, urgency level: High.",Food,High,Kerala
Lack of basic medical services reported in Himachal Pradesh.,Medical,Medium,Himachal Pradesh
Severe rescue crisis unfolding in Tripura.,Rescue,High,Tripura
Urgent Shelter assistance required in Tripura.,Shelter,Low,Tripura
Citizens in Gujarat need immediate medical aid.,Medical,High,Gujarat
Lack of basic medical services reported in Kolkata.,Medical,Low,Kolkata
Crisis alert: Food required in Assam. Urgency is Low.,Food,Low,Assam
Volunteers needed for rescue support in Delhi.,Rescue,Medium,Delhi
Severe shelter crisis unfolding in Telangana.,Shelter,Medium,Telangana
Severe food crisis unfolding in Chennai.,Food,Medium,Chennai
"Local authorities in Uttar Pradesh report other issues, response needed.",Other,High,Uttar Pradesh
Severe food crisis unfolding in Andhra Pradesh.,Food,Medium,Andhra Pradesh
Urgent Medical assistance required in Goa.,Medical,Medium,Goa
Lack of basic shelter services reported in Mumbai.,Shelter,High,Mumbai
"Local authorities in Andhra Pradesh report other issues, response needed.",Other,High,Andhra Pradesh
Urgent Rescue assistance required in Rajasthan.,Rescue,Low,Rajasthan
Citizens in Gujarat need immediate rescue aid.,Rescue,Low,Gujarat
Volunteers needed for food support in Ladakh.,Food,High,Ladakh
"Appeal for food relief in Himachal Pradesh, marked Low urgency.",Food,Low,Himachal Pradesh
Lack of basic rescue services reported in Goa.,Rescue,Low,Goa
Crisis alert: Rescue required in Manipur. Urgency is Low.,Rescue,Low,Manipur
Crisis alert: Medical required in Kerala. Urgency is High.,Medical,High,Kerala
Urgent Medical assistance required in Odisha.,Medical,Low,Odisha
"Appeal for shelter relief in Himachal Pradesh, marked Medium urgency.",Shelter,Medium,Himachal Pradesh
"Appeal for rescue relief in Chennai, marked High urgency.",Rescue,High,Chennai
Volunteers needed for food support in Kolkata.,Food,High,Kolkata
Volunteers needed for rescue support in Assam.,Rescue,Medium,Assam
Lack of basic shelter services reported in Rajasthan.,Shelter,Medium,Rajasthan
Citizens in Jammu need immediate rescue aid.,Rescue,Low,Jammu
Citizens in Nagaland need immediate medical aid.,Medical,Medium,Nagaland
"Local authorities in Assam report food issues, response needed.",Food,Medium,Assam
Severe food crisis unfolding in Goa.,Food,Medium,Goa
"Food emergency reported in Kerala, situation is High.",Food,High,Kerala
"Appeal for other relief in Nagaland, marked High urgency.",Other,High,Nagaland
Lack of basic other services reported in Uttar Pradesh.,Other,High,Uttar Pradesh
Volunteers needed for rescue support in Rajasthan.,Rescue,Low,Rajasthan
Citizens in Bihar need immediate shelter aid.,Shelter,Medium,Bihar
"Andhra Pradesh facing rescue shortage, urgency level: High.",Rescue,High,Andhra Pradesh
Volunteers needed for medical support in Rajasthan.,Medical,Low,Rajasthan
"Appeal for shelter relief in Punjab, marked Low urgency.",Shelter,Low,Punjab
Severe food crisis unfolding in Gujarat.,Food,Medium,Gujarat
Lack of basic food services reported in Punjab.,Food,Low,Punjab
Crisis alert: Medical required in Tripura. Urgency is Low.,Medical,Low,Tripura
Citizens in Himachal Pradesh need immediate food aid.,Food,Medium,Himachal Pradesh
"Medical emergency reported in Delhi, situation is Low.",Medical,Low,Delhi
Volunteers needed for other support in Delhi.,Other,High,Delhi
"Appeal for shelter relief in Goa, marked Low urgency.",Shelter,Low,Goa
"Other emergency reported in Sikkim, situation is High.",Other,High,Sikkim
Citizens in Chennai need immediate medical aid.,Medical,Low,Chennai
Citizens in Himachal Pradesh need immediate rescue aid.,Rescue,High,Himachal Pradesh
"Appeal for medical relief in Jharkhand, marked Low urgency.",Medical,Low,Jharkhand
Severe rescue crisis unfolding in Jammu.,Rescue,Medium,Jammu
Lack of basic medical services reported in Meghalaya.,Medical,Medium,Meghalaya
Severe other crisis unfolding in Gujarat.,Other,Low,Gujarat
Crisis alert: Other required in Andhra Pradesh. Urgency is Medium.,Other,Medium,Andhra Pradesh
Volunteers needed for food support in Delhi.,Food,Low,Delhi
"Local authorities in Manipur report medical issues, response needed.",Medical,Medium,Manipur
"Food emergency reported in Telangana, situation is Low.",Food,Low,Telangana
"Appeal for food relief in Gujarat, marked Medium urgency.",Food,Medium,Gujarat
"Appeal for food relief in Delhi, marked Medium urgency.",Food,Medium,Delhi
Lack of basic other services reported in Odisha.,Other,High,Odisha
Urgent Shelter assistance required in Odisha.,Shelter,High,Odisha
Urgent Food assistance required in Meghalaya.,Food,High,Meghalaya
"Bihar facing rescue shortage, urgency level: Medium.",Rescue,Medium,Bihar
Volunteers needed for food support in Sikkim.,Food,Medium,Sikkim
Urgent Food assistance required in Bihar.,Food,Medium,Bihar
Urgent Rescue assistance required in Odisha.,Rescue,High,Odisha
Citizens in Madhya Pradesh need immediate rescue aid.,Rescue,High,Madhya Pradesh
Urgent Shelter assistance required in Assam.,Shelter,Low,Assam
"Local authorities in Sikkim report rescue issues, response needed.",Rescue,Medium,Sikkim
"Other emergency reported in Manipur, situation is Medium.",Other,Medium,Manipur
Severe medical crisis unfolding in Kolkata.,Medical,Medium,Kolkata
"Other emergency reported in Bihar, situation is Medium.",Other,Medium,Bihar
"Local authorities in Andhra Pradesh report medical issues, response needed.",Medical,High,Andhra Pradesh
Lack of basic food services reported in Bihar.,Food,Low,Bihar
Crisis alert: Other required in Himachal Pradesh. Urgency is Low.,Other,Low,Himachal Pradesh
"Shelter emergency reported in Punjab, situation is High.",Shelter,High,Punjab
Citizens in Goa need immediate medical aid.,Medical,Medium,Goa
Volunteers needed for other support in Goa.,Other,Low,Goa
"Punjab facing medical shortage, urgency level: Medium.",Medical,Medium,Punjab
"Appeal for other relief in Mumbai, marked Medium urgency.",Other,Medium,Mumbai
"Appeal for medical relief in Andhra Pradesh, marked High urgency.",Medical,High,Andhra Pradesh
Crisis alert: Medical required in Uttar Pradesh. Urgency is High.,Medical,High,Uttar Pradesh
Crisis alert: Medical required in Punjab. Urgency is Medium.,Medical,Medium,Punjab
Crisis alert: Food required in Jammu. Urgency is Low.,Food,Low,Jammu
"Appeal for food relief in Rajasthan, marked Low urgency.",Food,Low,Rajasthan
Crisis alert: Rescue required in Punjab. Urgency is Low.,Rescue,Low,Punjab
Lack of basic shelter services reported in Kerala.,Shelter,Medium,Kerala
"Bihar facing other shortage, urgency level: High.",Other,High,Bihar
Urgent Shelter assistance required in Manipur.,Shelter,Medium,Manipur
"Shelter emergency reported in Madhya Pradesh, situation is High.",Shelter,High,Madhya Pradesh
Volunteers needed for shelter support in Himachal Pradesh.,Shelter,High,Himachal Pradesh
Lack of basic medical services reported in Meghalaya.,Medical,Medium,Meghalaya
"Rescue emergency reported in Bihar, situation is Medium.",Rescue,Medium,Bihar
"Local authorities in Kolkata report food issues, response needed.",Food,High,Kolkata
"Local authorities in Odisha report medical issues, response needed.",Medical,Medium,Odisha
"Shelter emergency reported in Tripura, situation is High.",Shelter,High,Tripura
Severe other crisis unfolding in Ladakh.,Other,Low,Ladakh
Volunteers needed for other support in Jharkhand.,Other,Medium,Jharkhand
Severe rescue crisis unfolding in Uttar Pradesh.,Rescue,Medium,Uttar Pradesh
"Local authorities in Ladakh report rescue issues, response needed.",Rescue,High,Ladakh
"Local authorities in Gujarat report shelter issues, response needed.",Shelter,Low,Gujarat
Volunteers needed for food support in Nagaland.,Food,High,Nagaland
"Local authorities in Sikkim report shelter issues, response needed.",Shelter,High,Sikkim
Severe rescue crisis unfolding in Kerala.,Rescue,Low,Kerala
Crisis alert: Shelter required in Goa. Urgency is Low.,Shelter,Low,Goa
"Telangana facing medical shortage, urgency level: High.",Medical,High,Telangana
"Medical emergency reported in Delhi, situation is Low.",Medical,Low,Delhi
"Appeal for food relief in Assam, marked Medium urgency.",Food,Medium,Assam
Citizens in Punjab need immediate food aid.,Food,Medium,Punjab
Severe other crisis unfolding in Jharkhand.,Other,Low,Jharkhand
Lack of basic food services reported in Assam.,Food,Low,Assam
"Local authorities in Kolkata report food issues, response needed.",Food,Medium,Kolkata
"Local authorities in Sikkim report rescue issues, response needed.",Rescue,Medium,Sikkim
"Other emergency reported in Jammu, situation is Medium.",Other,Medium,Jammu
Lack of basic food services reported in Nagaland.,Food,High,Nagaland
Lack of basic rescue services reported in Sikkim.,Rescue,Low,Sikkim
Volunteers needed for food support in Mumbai.,Food,Medium,Mumbai
"Other emergency reported in Tripura, situation is Low.",Other,Low,Tripura
Severe medical crisis unfolding in Madhya Pradesh.,Medical,Medium,Madhya Pradesh
"Appeal for food relief in Kolkata, marked Low urgency.",Food,Low,Kolkata
Volunteers needed for rescue support in Punjab.,Rescue,Medium,Punjab
"Food emergency reported in Delhi, situation is Low.",Food,Low,Delhi
"Appeal for rescue relief in Gujarat, marked Medium urgency.",Rescue,Medium,Gujarat
"Medical emergency reported in Tripura, situation is Medium.",Medical,Medium,Tripura
Volunteers needed for medical support in Andhra Pradesh.,Medical,Low,Andhra Pradesh
"Local authorities in Manipur report medical issues, response needed.",Medical,Low,Manipur
"Rescue emergency reported in Delhi, situation is High.",Rescue,High,Delhi
Urgent Rescue assistance required in Uttar Pradesh.,Rescue,Medium,Uttar Pradesh
"Appeal for food relief in Punjab, marked Medium urgency.",Food,Medium,Punjab
Volunteers needed for other support in Telangana.,Other,High,Telangana
"Local authorities in Kolkata report shelter issues, response needed.",Shelter,Medium,Kolkata
Lack of basic other services reported in Sikkim.,Other,Low,Sikkim
Citizens in Rajasthan need immediate food aid.,Food,Low,Rajasthan
Lack of basic rescue services reported in Meghalaya.,Rescue,Medium,Meghalaya
Volunteers needed for medical support in Ladakh.,Medical,High,Ladakh
"Goa facing other shortage, urgency level: High.",Other,High,Goa
Volunteers needed for other support in Himachal Pradesh.,Other,High,Himachal Pradesh
Lack of basic rescue services reported in Goa.,Rescue,Low,Goa
Citizens in Telangana need immediate rescue aid.,Rescue,Medium,Telangana
Citizens in Telangana need immediate shelter aid.,Shelter,High,Telangana
"Appeal for food relief in Assam, marked High urgency.",Food,High,Assam
Urgent Shelter assistance required in Andhra Pradesh.,Shelter,Low,Andhra Pradesh
Severe food crisis unfolding in Himachal Pradesh.,Food,High,Himachal Pradesh
"Appeal for medical relief in Bihar, marked High urgency.",Medical,High,Bihar
"Local authorities in Manipur report shelter issues, response needed.",Shelter,Low,Manipur
Volunteers needed for food support in Kerala.,Food,Low,Kerala
"Appeal for other relief in Sikkim, marked Medium urgency.",Other,Medium,Sikkim
Severe medical crisis unfolding in Himachal Pradesh.,Medical,Medium,Himachal Pradesh
Volunteers needed for medical support in Nagaland.,Medical,Low,Nagaland
Urgent Rescue assistance required in Manipur.,Rescue,Medium,Manipur
Lack of basic other services reported in Jammu.,Other,High,Jammu
Urgent Food assistance required in Jammu.,Food,Low,Jammu
Urgent Shelter assistance required in Madhya Pradesh.,Shelter,Medium,Madhya Pradesh
"Rescue emergency reported in Nagaland, situation is Low.",Rescue,Low,Nagaland
"Chennai facing medical shortage, urgency level: High.",Medical,High,Chennai
Severe other crisis unfolding in Telangana.,Other,High,Telangana
Volunteers needed for other support in Tripura.,Other,Medium,Tripura
Lack of basic shelter services reported in Punjab.,Shelter,Medium,Punjab
Urgent Shelter assistance required in Uttar Pradesh.,Shelter,High,Uttar Pradesh
Lack of basic rescue services reported in Sikkim.,Rescue,High,Sikkim
Citizens in Kolkata need immediate other aid.,Other,Medium,Kolkata
"Local authorities in Kolkata report food issues, response needed.",Food,High,Kolkata
"Local authorities in Tripura report other issues, response needed.",Other,Low,Tripura
"Rescue emergency reported in Sikkim, situation is Low.",Rescue,Low,Sikkim
Urgent Food assistance required in Goa.,Food,Medium,Goa
"Appeal for rescue relief in Odisha, marked Medium urgency.",Rescue,Medium,Odisha
"Medical emergency reported in Tripura, situation is Low.",Medical,Low,Tripura
"Other emergency reported in Uttar Pradesh, situation is Low.",Other,Low,Uttar Pradesh
"Local authorities in Odisha report food issues, response needed.",Food,Medium,Odisha
Citizens in Mumbai need immediate other aid.,Other,Low,Mumbai
Crisis alert: Medical required in Assam. Urgency is Medium.,Medical,Medium,Assam
Citizens in Jharkhand need immediate shelter aid.,Shelter,Medium,Jharkhand
Volunteers needed for rescue support in Sikkim.,Rescue,Medium,Sikkim
Citizens in Tripura need immediate medical aid.,Medical,Low,Tripura
Volunteers needed for shelter support in Odisha.,Shelter,High,Odisha
Citizens in Himachal Pradesh need immediate food aid.,Food,High,Himachal Pradesh
Crisis alert: Rescue required in Himachal Pradesh. Urgency is High.,Rescue,High,Himachal Pradesh
"Assam facing food shortage, urgency level: Medium.",Food,Medium,Assam
Lack of basic other services reported in Nagaland.,Other,Low,Nagaland
Citizens in Himachal Pradesh need immediate shelter aid.,Shelter,Medium,Himachal Pradesh
Lack of basic shelter services reported in Delhi.,Shelter,High,Delhi
"Telangana facing medical shortage, urgency level: Low.",Medical,Low,Telangana
Severe other crisis unfolding in Sikkim.,Other,Low,Sikkim
"Appeal for medical relief in Himachal Pradesh, marked High urgency.",Medical,High,Himachal Pradesh
Crisis alert: Food required in Assam. Urgency is Low.,Food,Low,Assam
Lack of basic rescue services reported in Rajasthan.,Rescue,High,Rajasthan
"Medical emergency reported in Kerala, situation is Low.",Medical,Low,Kerala
Citizens in Tripura need immediate rescue aid.,Rescue,Low,Tripura
Volunteers needed for rescue support in Goa.,Rescue,Medium,Goa
Urgent Food assistance required in Punjab.,Food,High,Punjab
Crisis alert: Rescue required in Madhya Pradesh. Urgency is Medium.,Rescue,Medium,Madhya Pradesh
Crisis alert: Rescue required in Rajasthan. Urgency is Low.,Rescue,Low,Rajasthan
Lack of basic rescue services reported in Bihar.,Rescue,Low,Bihar
Volunteers needed for food support in Nagaland.,Food,Low,Nagaland
Volunteers needed for food support in Manipur.,Food,High,Manipur
"Meghalaya facing other shortage, urgency level: High.",Other,High,Meghalaya
Volunteers needed for rescue support in Gujarat.,Rescue,High,Gujarat
Lack of basic medical services reported in Kerala.,Medical,High,Kerala
Lack of basic shelter services reported in Kolkata.,Shelter,Low,Kolkata
"Local authorities in Rajasthan report other issues, response needed.",Other,Medium,Rajasthan
Citizens in Kerala need immediate other aid.,Other,Low,Kerala
"Appeal for medical relief in Sikkim, marked High urgency.",Medical,High,Sikkim
Severe shelter crisis unfolding in Sikkim.,Shelter,Low,Sikkim
"Madhya Pradesh facing medical shortage, urgency level: Medium.",Medical,Medium,Madhya Pradesh
"Goa facing medical shortage, urgency level: Low.",Medical,Low,Goa
"Appeal for medical relief in Ladakh, marked Low urgency.",Medical,Low,Ladakh
Urgent Other assistance required in Bihar.,Other,Medium,Bihar
Severe shelter crisis unfolding in Andhra Pradesh.,Shelter,High,Andhra Pradesh
"Appeal for shelter relief in Odisha, marked Low urgency.",Shelter,Low,Odisha
Urgent Other assistance required in Manipur.,Other,High,Manipur
Lack of basic medical services reported in Punjab.,Medical,Medium,Punjab
"Local authorities in Gujarat report shelter issues, response needed.",Shelter,High,Gujarat
"Telangana facing food shortage, urgency level: High.",Food,High,Telangana
Citizens in Bihar need immediate food aid.,Food,High,Bihar
Urgent Rescue assistance required in Jharkhand.,Rescue,High,Jharkhand
Crisis alert: Food required in Punjab. Urgency is High.,Food,High,Punjab
Lack of basic rescue services reported in Mumbai.,Rescue,High,Mumbai
Citizens in Assam need immediate shelter aid.,Shelter,High,Assam
Volunteers needed for rescue support in Manipur.,Rescue,High,Manipur
"Odisha facing other shortage, urgency level: Low.",Other,Low,Odisha
Severe medical crisis unfolding in Tripura.,Medical,Medium,Tripura
"Medical emergency reported in Rajasthan, situation is High.",Medical,High,Rajasthan
Crisis alert: Food required in Andhra Pradesh. Urgency is Medium.,Food,Medium,Andhra Pradesh
Lack of basic medical services reported in Andhra Pradesh.,Medical,Medium,Andhra Pradesh
Urgent Rescue assistance required in Kerala.,Rescue,Low,Kerala
Citizens in Odisha need immediate shelter aid.,Shelter,Low,Odisha
Citizens in Nagaland need immediate rescue aid.,Rescue,High,Nagaland
